Número Licitação;Número Processo;Objeto;Modalidade Compra;Situação Licitação;Código Órgão Superior;Nome Órgão Superior;Código Órgão;Nome Órgão;Código UG;Nome UG;Município;Data Resultado Compra;Data Abertura; Valor Licitação 
12018;2,31E+16;Objeto: Contratação de empresa especializada na execução de Obra de Engenharia, para a Adequação de espaço no Centro de Aulas Pequi, da Universidade Federal de Goiás, situado no prédio da Escola de Agronomia, Campus Samambaia, Goiânia-GO.;Convite;Evento de Habilitação Divulgad;26000;Ministério da Educação;26235;Universidade Federal de Goiás;153052;UNIVERSIDADE FEDERAL DE GOIAS;GOIANIA;30/01/2019;;R$ 65.609
12018;2,37E+16;Objeto: A presente licitação tem por objeto a escolha da proposta mais vantajosa para a administração, para a contratação de empresa especializada para a execução da obra da Quadra Poliesportiva Coberta com fornecimento de mão de obra capacitada e material de primeira qualidade, mediante o regime empreitada por preço global, conforme especificações constantes no Projeto Básico.;Concorrência;Publicado;26000;Ministério da Educação;26407;Instituto Federal Goiano;154629;IF GOIANO - CAMPUS CAMPOS BELOS;CAMPOS BELOS;18/01/2019;;R$ 337.176
12018;2,50E+16;Objeto: Contratação de empresa especializada na execução de REFORMA DO POLO BASE MANACAPURU/AM. O Projeto de reforma tem como finalidade a reconstrução do muro lateral direito, recomposição de uma parte do muro central e a retirada de vazamentos do telhado;Convite;Evento de Resultado de Julgame;36000;Ministério da Saúde;36000;Ministério da Saúde - Unidades com vínculo di;257027;DISTRITO SANIT.ESP.INDIGENA - MANAUS;MANAUS;14/01/2019;;R$ 60.973
12018;2,51E+16;Objeto: Contratação de Empresa Especializada na execução de Conclusão da Construção da Unidade Básica de Saúde Indígena-UBSI  e alojamento da Aldeia Belém, adstritas ao Polo Base de Água Boa/DSEI Xavante/SESAI/MS;Tomada de Preços;Evento de Resultado de Julgame;36000;Ministério da Saúde;36000;Ministério da Saúde - Unidades com vínculo di;257040;DISTRITO SANIT.ESP.INDIGENA - XAVANTE;BARRA DO GARCAS;18/01/2019;;R$ 477.151
12018;2,51E+16;Objeto: A presente licitação tem por objeto a escolha da proposta mais vantajosa para Contratação de empresa especializada na prestação de serviços na área da engenharia para EXECUÇÃO DA OBRA DE REFORMA DA CASA DE APOIO DE SAÚDE INDÍGENA- CASAI, localizada no Município de Colíder, Estado de Mato Grosso, incluindo o fornecimento de mão de obra especializada e material, estabelecendo normas gerais e específicas, métodos de trabalho e padrões de conduta para os serviços descritos neste projeto, devendo ainda, ser c;Tomada de Preços;Evento de Resultado de Julgame;36000;Ministério da Saúde;36000;Ministério da Saúde - Unidades com vínculo di;257038;DISTRITO SANIT.ESP.INDIGENA KAIAPO MT GROSSO;COLIDER;18/01/2019;;R$ 565.149
12018;2,51E+16;Objeto: A presente licitação tem por objeto a escolha da proposta mais vantajosa para a contratação de empresa especializada em construção civil para execução de Melhorias Sanitárias e Sistema Simplificado de Abastecimento de Água na aldeia Ipisirei do DSEI   Distrito Sanitário Especial de Saúde Indígena de Porto Velho, nos municípios de  Rondolândia/MT, mediante o regime empreitada por preço global , conforme especificações constantes no Projeto Básico   ANEXO I, que é parte integrante deste Edital.;Tomada de Preços;Evento de Resultado de Julgame;36000;Ministério da Saúde;36000;Ministério da Saúde - Unidades com vínculo di;257049;DISTRITO SANIT.ESP.INDIGENA - PORTO VELHO;PORTO VELHO;30/01/2019;;R$ 291.265
12018;2,52E+16;Objeto: Pregão Eletrônico -  Registro de Preços para aquisição de material de expediente, visando atender as demandas da SUEST/PR (Serviços, Divisões, Seções, Setores e a PGF), no desempenho de suas atribuições e no bom andamento das atividades, nos ternos da justificativa constante no item 02, do Termo de Referência e conforme especificações e quantidades contidas no Pedido de Bens e Serviços nº SOPAM/PR 0281611, anexo ao Processo nº 25220.001913/2018-17.;Pregão - Registro de Preço;Evento de Resultado de Julgame;36000;Ministério da Saúde;36211;Fundação Nacional de Saúde;255016;FUNDACAO NACIONAL DE SAUDE - PR;CURITIBA;23/01/2019;20/11/2018;R$ 460
12018;2,60E+16;Objeto: Pregão Eletrônico -  Aquisição futura e eventual de materiais odontológicos para o Hospital de Guarnição de Marabá, conforme condições, quantidades, exigências e estimativas, estabelecidas no Termo de Referência;Pregão - Registro de Preço;Evento de Alteração Publicado;52000;Ministério da Defesa;52121;Comando do Exército;160168;HOSPITAL DA GUARNICAO DE MARABA;MARABA;03/01/2019;08/11/2018;R$ 1.392
12018;3,50E+16;Objeto: Pregão Eletrônico -  Prestação de serviços continuados de transporte mediante fornecimento de veículos, combustível, seguro e demais insumos, para transporte de pessoal e mercadorias em serviço, atendendo, dessa forma, a demanda da Gerência Executiva do INSS em Juazeiro/BA e demais Unidades de sua abrangência.;Pregão;Evento de Resultado de Julgame;25000;Ministério da Economia;37202;Instituto Nacional do Seguro Social;511679;GERÊNCIA EXECUTIVA JUAZEIRO;JUAZEIRO;09/01/2019;28/12/2018;R$ 183.803
12018;3,54E+16;Objeto: Serviço de fornecimento de água e utilização de rede de esgotos para os prédios da Gerência Executiva do INSS em Taubaté/SP e suas Agências da Previdência Social subordinadas.;Inexigibilidade de Licitação;Publicado;25000;Ministério da Economia;37202;Instituto Nacional do Seguro Social;511393;GERÊNCIA EXECUTIVA TAUBATÉ;TAUBATE;17/01/2019;;R$ 200.400
12018;4,44E+16;Objeto: Adequação de Núcleo da Companhia de Comunicações da 6ª RM   1ª ETAPA;Tomada de Preços;Publicado;52000;Ministério da Defesa;52121;Comando do Exército;160036;COMANDO 6 REGIAO MILITAR;SALVADOR;03/01/2019;;R$ 129.210
12018;5,77E+16;Objeto: Serviços não comuns de adequação da garagem do 41º Batalhão de Infantaria Motorizado, em Jataí-GO.;Tomada de Preços;Evento de Resultado de Julgame;52000;Ministério da Defesa;52121;Comando do Exército;160102;41 BATALHAO DE INFANTARIA MOTORIZADO;JATAI;30/01/2019;;R$ 316.410
12018;6,20E+16;Objeto: Pregão Eletrônico -  Registro de preços para eventual contratação de serviços de projeto gráfico, diagramação, editoração eletrônica e impressão de peças de comunicação para divulgação interna e externa para a Amazônia Azul Tecnologias de Defesa S.A.   AMAZUL e órgãos participantes, conforme condições, quantidades e exigências estabelecidas no Edital, Termo de Referência e anexos.;Pregão - Registro de Preço;Publicado;52000;Ministério da Defesa;52233;Amazônia Azul Tecnologia de Defesa S.A.;710300;AMAZÔNIA AZUL TECNOL. DE DEFESA S.A - AMAZUL;SAO PAULO;10/01/2019;28/11/2018;R$ 3.600
12018;6,32E+16;Objeto: Pregão Eletrônico -  Aquisição de Medicamentos Psiquiátricos e clínicos, conforme condições, quantidades, exigências e estimativas, estabelecidas no Termo de Referência.;Pregão - Registro de Preço;Publicado;52000;Ministério da Defesa;52131;Comando da Marinha;765705;UNIDADE INTEGRADA DE SAUDE MENTAL;RIO DE JANEIRO;11/01/2019;17/12/2018; R$ -   
12018;6,35E+16;Objeto: Contratação de empresa para o fornecimento de água potável e tratamento de esgoto para atender a Policlínica Naval de Niterói (PNN), situada à Rua Barão de Jaceguai, s/nº, Ponta D'areia, Niterói/RJ - CEP: 24.040-000.;Inexigibilidade de Licitação;Publicado;52000;Ministério da Defesa;52131;Comando da Marinha;765700;CENTRO MEDICO ASSISTENCIAL DA MARINHA;RIO DE JANEIRO;09/01/2019;;R$ 120.683
12018;6,41E+16;Objeto: Obra de Reforma do Pavilhão do Almoxarifado do 35º Batalhão de Infantaria, mediante o regime empreitada por preço unitário, conforme especificações constantes no Projeto Básico nº 01/2018/SRO 6ª RM   ANEXO I do Edital.;Tomada de Preços;Evento de Resultado de Julgame;52000;Ministério da Defesa;52121;Comando do Exército;160028;35 BATALHAO DE INFANTARIA;FEIRA DE SANTANA;30/01/2019;;R$ 475.833
12018;6,43E+16;Objeto: A escolha da proposta mais vantajosa para a contratação de empresa especializada para execução de serviço não comum de engenharia para a adaptação das instalações elétricas do Pavilhão de Comando do Comando da 10ª Brigada de Infantaria Motorizada, mediante o regime empreitada por preço unitário, conforme especificações constantes no Projeto Básico 41/2018   CRO/7   ANEXO I, que é parte integrante do Edital.;Tomada de Preços;Evento de Resultado de Julgame;52000;Ministério da Defesa;52121;Comando do Exército;160193;COMANDO 10 BRIGADA DE INFANTARIA MOTORIZADA;RECIFE;09/01/2019;;R$ 187.173
12018;6,43E+16;Objeto: Obra de reforma das fachadas do Edificio General Tibúrcio;Tomada de Preços;Evento de Resultado de Julgame;52000;Ministério da Defesa;52121;Comando do Exército;160047;COMANDO 10ª REGIAO MILITAR;FORTALEZA;30/01/2019;;R$ 560.334
12018;6,45E+16;Objeto: Contratação dos serviços das Organizações Civis de Saúde OCS e Profissionais de Saúde Autônomos PSA, visando aprestação de serviços de assistência médico-hospitalar, ambulatorial, odontológica, reabilitação, atendimento pré hospitalar móvel e assistência domiciliar para complementação do atendimento aos beneficiários do SAMMED/FuSEx, vinculados ao 14º GAC,na Guarnição Militar de Pouso Alegre MG;Inexigibilidade de Licitação;Publicado;52000;Ministério da Defesa;52121;Comando do Exército;160123;14 GRUPO DE ARTILHARIA DE CAMPANHA;POUSO ALEGRE;04/01/2019;;R$ 9.640.500
12018;64571.004622/2018;Objeto: Pregão Eletrônico -  Serviço de corte de cabelo (Concessão de bem imóvel sob forma de cessão de uso para o funcionamento de Barbearia).;Pregão;Evento de Resultado de Julgame;52000;Ministério da Defesa;52121;Comando do Exército;160469;2º GRUPO DE ARTILHARIA DE CAMPANHA LEVE;ITU;14/01/2019;04/10/2018;R$ 26
12018;6,46E+16;Objeto: Prestação de serviço na especialidade de oftalmologia;Inexigibilidade de Licitação;Publicado;52000;Ministério da Defesa;52121;Comando do Exército;160416;HOSPITAL GERAL DE SANTA MARIA;SANTA MARIA;30/01/2019;;R$ 10.000.000
12018;6,53E+16;Objeto: Prestação de serviços médicos hospitalares, ambulatoriais,laboratoriais e odontológicos aos usuários do SAMMED/FUSEx, PASS e SAMEx-Cmb.;Inexigibilidade de Licitação;Publicado;52000;Ministério da Defesa;52121;Comando do Exército;160226;34 BATALHAO DE INFANTARIA MECANIZADO;FOZ DO IGUACU;09/01/2019;;R$ 144.000
12018;6,53E+16;Objeto: Readequação do Tapiri de Instrução do 6º Batalhão de Polícia do Exército.;Tomada de Preços;Evento de Resultado de Julgame;52000;Ministério da Defesa;52121;Comando do Exército;160034;6º BATALHÃO DE POLÍCIA DO EXÉRCITO;SALVADOR;24/01/2019;;R$ 71.219
12018;8,06E+16;Objeto: A presente licitação tem por objeto a recuperação do piso de concreto do pátio de formatura do 6º D Sup, mediante o regime empreitada por preço global, conforme especificações constantes no Projeto Básico   ANEXO I, que é parte integrante deste Edital.  4.2. A licitação será dividida em itens (ou grupos), conforme tabela constante do Projeto Básico   ANEXO I, facultando-se ao licitante a participação em quantos itens (ou grupos) forem de seu interesse, sagrando-se vencedor o licitante que ofertar o menor;Tomada de Preços;Evento de Resultado de Julgame;52000;Ministério da Defesa;52121;Comando do Exército;160038;6º DEPÓSITO DE SUPRIMENTO;SALVADOR;29/01/2019;;R$ 331.961
12018;8915/2018;Objeto: Pregão Eletrônico -  O objeto da presente licitação é o registro de preços de material médico hospitalar, conforme condições, quantidades, exigências e estimativas encaminhadas pelas unidades de saúde, estabelecidas neste instrumento, por um período de 12 (doze) meses.;Pregão - Registro de Preço;Evento de Retificação Divulgad;99900;República Federativa do Brasil;93420;Estado do Pará;927248;FUNDO MUNICIPAL DE SAÚDE DE ANANINDEUA;Inválido;29/01/2019;30/11/2018;R$ 71.312
12019;8088720180;Objeto: Contratação de empresa para serviço de manutenção de Ar condicionados.;Dispensa de Licitação;Publicado;52000;Ministério da Defesa;52121;Comando do Exército;160019;HOSPITAL DE GUARNICAO DE TABATINGA;TABATINGA;23/01/2019;;R$ 8.100
12019;000001/2019-EsAO;Objeto: Prestação de serviço de fornecimento de energia elétrica;Dispensa de Licitação;Publicado;52000;Ministério da Defesa;52121;Comando do Exército;160311;ESCOLA DE APERFEICOAMENTO DE OFICIAIS;RIO DE JANEIRO;30/01/2019;;R$ 420.038
12019;000002/2019-EsAO;Objeto: Fornecimento de água e coleta de esgoto.;Inexigibilidade de Licitação;Publicado;52000;Ministério da Defesa;52121;Comando do Exército;160311;ESCOLA DE APERFEICOAMENTO DE OFICIAIS;RIO DE JANEIRO;30/01/2019;;R$ 28.800
12019;00000531/2019-54;Objeto: Despesas hospitalares em caráter de urgência/emergência.;Dispensa de Licitação;Encerrado;52000;Ministério da Defesa;52121;Comando do Exército;160177;71 BATALHAO DE INFANTARIA MOTORIZADO;GARANHUNS;23/01/2019;;R$ 7.752
12019;00001/01/2019;Objeto: Contratação de serviço de buffet para atender solenidade de passagem de função do Chefe do Estado Maior do Comando do GUEs/9ª Bda Inf Mtz.;Dispensa de Licitação;Encerrado;52000;Ministério da Defesa;52121;Comando do Exército;160295;CMDO GRUPAMENTO UNID.ESCOLA/9ª BDA INF MTZ;RIO DE JANEIRO;11/01/2019;;R$ 9.000
12019;00001/2019;Objeto: Aquisição de Token para atender necessidades do CPOR/CMBH.;Dispensa de Licitação;Encerrado;52000;Ministério da Defesa;52121;Comando do Exército;160523;CENTRO DE PREP. DE OFICIAIS DA RESERVA DE BH;BELO HORIZONTE;24/01/2019;;R$ 656
12019;1,00E+12;Objeto: Publicação de Atos Oficiais no Diário Oficial da União.;Inexigibilidade de Licitação;Publicado;20000;Presidência da República;20101;Presidência da República;110001;SECRETARIA ESPECIAL DE ADMINISTRACAO/PR;BRASILIA;09/01/2019;;R$ 101.961
12019;000049/2019-IMBEL;Objeto: Serviço de manutenção e conserto de fragmentadora de papel.;Dispensa de Licitação;Encerrado;52000;Ministério da Defesa;52221;Indústria de Material Bélico do Brasil;168003;INDUSTRIA DE MATERIAL BELICO DO BRASIL - GAB;BRASILIA;25/01/2019;;R$ 700
12019;000055/2019-IMBEL;Objeto: Prestação de Serviço de Seguro obrigatório para 6 (seis) veículos da IMBEL/SEDE.;Inexigibilidade de Licitação;Encerrado;52000;Ministério da Defesa;52221;Indústria de Material Bélico do Brasil;168003;INDUSTRIA DE MATERIAL BELICO DO BRASIL - GAB;BRASILIA;29/01/2019;;R$ 97
12019;00005679/2019-96;Objeto: Prestação de serviço PJ - Serviço  de buffet para passagem de comando;Dispensa de Licitação;Encerrado;52000;Ministério da Defesa;52121;Comando do Exército;160268;2 CIRCUNSCRICAO DE SERVICO MILITAR;NITEROI;22/01/2019;;R$ 16.000
12019;1;Objeto: Contratação Anual de serviço de fornecimento de água e coleta de esgoto.;Dispensa de Licitação;Encerrado;52000;Ministério da Defesa;52121;Comando do Exército;160365;HOSPITAL DE GUARNICAO DE BAGE;BAGE;17/01/2019;;R$ 1.075
12019;000173/2019-38;Objeto: Aquisição de Material de Consumo - Medicamentos.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26245;Universidade Federal do Rio de Janeiro;153155;MATERNIDADE ESCOLA DA UFRJ;RIO DE JANEIRO;08/01/2019;;R$ 3.776
12019;3;Objeto: Contrato fornecimento de água e coleta de esgoto 2019;Inexigibilidade de Licitação;Encerrado;52000;Ministério da Defesa;52121;Comando do Exército;160365;HOSPITAL DE GUARNICAO DE BAGE;BAGE;17/01/2019;;R$ 7.044
12019;000475/2019-25;Objeto: Fornecimento de energia elétrica;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26236;Universidade Federal Fluminense;153001;SUBCOORD.DA UNID.AVANC.J.VERISSIMO;ORIXIMINA;28/01/2019;;R$ 16.000
12019;000478/2019-69;Objeto: Frango em partes congeladas;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26236;Universidade Federal Fluminense;153001;SUBCOORD.DA UNID.AVANC.J.VERISSIMO;ORIXIMINA;28/01/2019;;R$ 13.200
12019;5,80E+13;Objeto: Certificação do Centro de Treinamento desta Agência Reguladora, localizado em Brasília-DF, no intuito de garantir a sua permanência no programa TRAINAIR PLUS, pelo período de 01/2019 a 12/2019, conforme exposto no Projeto Básico (SEI! 2505139).;Inexigibilidade de Licitação;Publicado;39000;Ministério da Infraestrutura;62201;Agência Nacional de Aviação Civil;113214;AGENCIA NACIONAL DE AVIACAO CIVIL;BRASILIA;15/01/2019;;R$ 46.461
12019;5,85E+13;Objeto: Pregão Eletrônico -  Serviços contínuos de impressão corporativa - outsourcing de impressão - compreendendo impressão, reprodução de cópias e digitalização, com a disponibilização de equipamentos e insumos/consumíveis, inclusive suprimentos, peças, suporte, manutenção e sistema de gerenciamento de impressões e bilhetagem, a fim de atender as necessidades da Agência Nacional de Aviação Civil (ANAC).;Pregão;Evento de Resultado de Julgame;39000;Ministério da Infraestrutura;62201;Agência Nacional de Aviação Civil;113214;AGENCIA NACIONAL DE AVIACAO CIVIL;BRASILIA;14/01/2019;07/01/2019;R$ 1.542.907
12019;6,51E+13;"Objeto: Aquisição de cafeteira elétrica - especificações mínimas: jarra de aço escovado ou aço inox, com capacidade total de no mínimo de 15 xícaras de 50 ml cada; placa de aquecimento; porta filtro; sistema corta pingos; o produto devera ser fornecido com o novo padrão de plugue conforme normas vigentes da ABNT; tensão 220 volts. Garantia mínima de 1 ano, com assistência técnica prestada na cidade do Rio de Janeiro. Embalagem com dados de identificação do produto e marca do fabricante";Dispensa de Licitação;Encerrado;39000;Ministério da Infraestrutura;62201;Agência Nacional de Aviação Civil;113216;REPRESENTAÇÃO REGIONAL RIO DE JANEIRO - ANAC;RIO DE JANEIRO;24/01/2019;17/01/2019;R$ 356
12019;0006598-39.2018;Objeto: Pregão Eletrônico -  Formação de registro de preços com vistas à futura e eventual aquisição de materiais permanentes (eletro-eletrônico e eletrodoméstico) para atender as necessidades do TJAC.;Pregão - Registro de Preço;Divulgado;99900;República Federativa do Brasil;93120;Estado do Acre;925509;TRIBUNAL DE JUSTIÇA DO ESTADO DO ACRE;Inválido;30/01/2019;10/01/2019;R$ 1.233
12019;00066.000644/2019;Objeto: Aquisição de 1.200 (mil e duzentas) caixas arquivo para o almoxarifado da Representação Regional de São Paulo e São José dos Campos.;Dispensa de Licitação;Encerrado;39000;Ministério da Infraestrutura;62201;Agência Nacional de Aviação Civil;113217;REPRESENTAÇÃO REGIONAL SÃO PAULO_- ANAC;SAO PAULO;16/01/2019;14/01/2019;R$ 2.748
12019;6,80E+13;Objeto: Contratação do serviço de publicação do Aviso de Chamamento Público, em jornal de grande circulação no munícipio de Porto Alegre, conforme a demanda da Coordenação de Administração e Finanças da SAF em Porto Alegre - CAFPOA, referente à locação de imóvel para o NURAC Porto Alegre.;Dispensa de Licitação;Encerrado;39000;Ministério da Infraestrutura;62201;Agência Nacional de Aviação Civil;113219;NÚCLEO REG. DE AVIAÇÃO CIVIL DE PORTO ALEGRE;PORTO ALEGRE;17/01/2019;;R$ 480
12019;6,80E+13;Objeto: Prestação de serviços de fornecimento de água, recepção e tratamento de esgoto para o Núcleo Regional de Aviação Civil de Porto Alegre, localizado na Av. Severo Dullius, nº 1.244, Bairro São João, Porto Alegre/RS.;Inexigibilidade de Licitação;Encerrado;39000;Ministério da Infraestrutura;62201;Agência Nacional de Aviação Civil;113219;NÚCLEO REG. DE AVIAÇÃO CIVIL DE PORTO ALEGRE;PORTO ALEGRE;17/01/2019;;R$ 12.375
12019;000848/2019-08;Objeto: Serviços de Encadernação;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26421;Instituto Federal de Rondônia;158376;INST.FED.RONDONIA/CAMPUS JI-PARANA;JI-PARANA;22/01/2019;;R$ 26
12019;001/160228/2019;Objeto: Material de Processamento de Dados.;Dispensa de Licitação;Encerrado;52000;Ministério da Defesa;52121;Comando do Exército;160228;26 GRUPO DE ARTILHARIA DE CAMPANHA;GUARAPUAVA;30/01/2019;;R$ 1.567
12019;001/2018;Objeto: Contratação de serviço de transporte pessoal.;Dispensa de Licitação;Encerrado;52000;Ministério da Defesa;52121;Comando do Exército;160428;2 REGIMENTO DE CAVALARIA MECANIZADO;SAO BORJA;10/01/2019;;R$ 5.031
12019;001/2019;Objeto: Aquisição de 01 web cam, 01 fone de ouvido e 01 microfone para PC.;Dispensa de Licitação;Encerrado;35000;Ministério das Relações Exteriores;35000;Ministério das Relações Exteriores - Unidades;240027;ESCRITORIO DE REPRES. NA REG.NORDESTE-ERENE;BRASILIA;21/01/2019;;R$ 180
12019;001/2019;Objeto: Contratação de serviço de certificação digital para atender as necessidades do 38º Batalhão de Infantaria.;Dispensa de Licitação;Encerrado;52000;Ministério da Defesa;52121;Comando do Exército;160093;38  BATALHAO DE INFANTARIA;VILA VELHA;18/01/2019;;R$ 1.426
12019;001/2019;Objeto: Aquisição de passagens aéreas para deslocamento de militar com finalidade de realização de simpósio.;Dispensa de Licitação;Encerrado;52000;Ministério da Defesa;52121;Comando do Exército;160116;17º BATALHÃO LOGÍSTICO LEVE-MONTANHA;JUIZ DE FORA;29/01/2019;;R$ 1.444
12019;001/2019;Objeto: Contratação de Seguro Obrigatório DPVAT - viaturas administrativas.;Dispensa de Licitação;Encerrado;52000;Ministério da Defesa;52121;Comando do Exército;160290;CENTRO DE PREPARACAO OFICIAIS RESERVA/RJ;RIO DE JANEIRO;28/01/2019;;R$ 1.542
